frame,frequency_hz,mechanism,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
16,2.5,all,0.013000844572414643,1.188486436259586e-08,1e-08,1.1816315368314611e-09
16,10.0,all,0.013000844573061929,4.4675858713365567e-08,1e-08,4.7265261473258444e-09
16,100.0,all,0.01300084457310465,4.4486861042313385e-07,1e-08,4.7265261473258444e-08
16,1000.0,all,0.013000844573105077,4.44849710655063e-06,1e-08,4.726526147325844e-07
16,10000.0,all,0.013000844573105082,4.4484952165738226e-05,1e-08,4.726526147325844e-06
17,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
17,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
17,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
17,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
17,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
17,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
17,1.0,grain,0.013000761631323889,1.9893980708285335e-09,1e-08,0.0
17,2.5,grain,0.013000761635688819,7.957637888505918e-10,1e-08,0.0
17,10.0,grain,0.013000761636468277,1.989411508086293e-10,1e-08,0.0
17,100.0,grain,0.01300076163651972,1.9894116424597876e-11,1e-08,0.0
17,1000.0,grain,0.013000761636520235,1.9894116438035232e-12,1e-08,0.0
17,10000.0,grain,0.01300076163652024,1.9894116438169604e-13,1e-08,0.0
17,1.0,all,0.013000761631323889,6.43789326831168e-09,1e-08,4.726526147325844e-10
17,2.5,all,0.013000761635688819,1.191700178255846e-08,1e-08,1.1816315368314611e-09
17,10.0,all,0.013000761636468277,4.4683893125640106e-08,1e-08,4.7265261473258444e-09
17,100.0,all,0.01300076163651972,4.4486941386473935e-07,1e-08,4.7265261473258444e-08
17,1000.0,all,0.013000761636520235,4.448497186894791e-06,1e-08,4.726526147325844e-07
17,10000.0,all,0.01300076163652024,4.4484952173772645e-05,1e-08,4.726526147325844e-06
18,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
18,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
18,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
18,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
18,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
18,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
18,1.0,grain,0.013000752454643522,2.3170784409209077e-09,1e-08,0.0
18,2.5,grain,0.01300075246063701,9.268387588125843e-10,1e-08,0.0
18,10.0,grain,0.013000752461707286,2.317100192796428e-10,1e-08,0.0
18,100.0,grain,0.013000752461777926,2.3171004103172455e-11,1e-08,0.0
18,1000.0,grain,0.013000752461778632,2.317100412492454e-12,1e-08,0.0
18,10000.0,grain,0.013000752461778639,2.317100412514206e-13,1e-08,0.0
18,1.0,all,0.013000752454643522,6.765573638404054e-09,1e-08,4.726526147325844e-10
