frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
133.3521432163324,837.8762269377677,1.2994037417289096e-09,1.4171043098358246e-11,5.5892462805269515e-08,8.75634000213683e-09,5.719186654699842e-08,8.770511045235187e-09,0.0009625212901695628,1.049706896174685e-05,0.04140182430019965,0.006486177779360614,0.0423643455903692,0.006496674848322361,0.0853643455903692,0.006497268064691033
177.82794100389228,1117.3259061216543,1.2996628600726225e-09,1.0644737897640338e-11,5.7477396920490225e-08,8.099867406349876e-09,5.877705978056285e-08,8.110512144247516e-09,0.0009627132296834241,7.88499103528914e-06,0.0425758495707335,0.00599990178248139,0.04353856280041693,0.006007786773516679,0.08653856280041693,0.006008577840258213
237.13737056616552,1489.978042524532,1.2998098166319181e-09,7.990120620811215e-12,5.891295916601951e-08,7.436841574276723e-09,6.021276898265144e-08,7.444831694897534e-09,0.0009628220863940135,5.918607867267567e-06,0.04363922901186631,0.0055087715365012765,0.04460205109826033,0.005514690144368544,0.08760205109826033,0.0055157450488226515
316.22776601683796,1986.9176531592204,1.2998928610650605e-09,5.99501941513743e-12,6.020900540120307e-08,6.780261766692612e-09,6.150889826226813e-08,6.78625678610775e-09,0.0009628836007889338,4.440755122324023e-06,0.04459926326015042,0.00502241612347601,0.04556214686093936,0.0050268568785983335,0.08856214686093936,0.00502826361629677
421.6965034285823,2649.597274431474,1.299939690485108e-09,4.497018339599244e-12,6.13744647294195e-08,6.134632260083751e-09,6.267440441990461e-08,6.1391292784233505e-09,0.0009629182892482281,3.3311246959994405e-06,0.04546256646623667,0.004544172044506483,0.0464254847554849,0.004547503169202482,0.0894254847554849,0.00454937908407278
562.341325190349,3533.2947520558987,1.2999660661348481e-09,3.3728750685399133e-12,6.241269117039131e-08,5.5010591937669374e-09,6.371265723652616e-08,5.504432068835477e-09,0.0009629378267665543,2.498425976696232e-06,0.046231623089178754,0.004074858662049583,0.04719456091594531,0.004077357088026279,0.0901945609159453,0.004079858660710735
749.8942093324558,4711.72427801674,1.2999809114564326e-09,2.5295474586678075e-12,6.332274439617198e-08,4.883877142372656e-09,6.462272530762841e-08,4.886406689831324e-09,0.0009629488233010613,1.8737388582724501e-06,0.046905736589757024,0.0036176867721278935,0.04786868541305808,0.0036195605109861657,0.09086868541305808,0.0036228964117750017
1000.0,6283.185307179586,1.2999892637822521e-09,1.896997661197039e-12,6.410509876005909e-08,4.292960981668466e-09,6.540508802384134e-08,4.294857979329663e-09,0.0009629550102090757,1.4051834527385475e-06,0.047485258340784514,0.003179971097532197,0.04844821335099359,0.003181376280984936,0.0914482133509936,0.003185824776182419
1333.521432163324,8378.762269377678,1.2999939619668416e-09,1.4225917236543824e-12,6.476586843836553e-08,3.740627131185405e-09,6.606586240033237e-08,3.74204972290906e-09,0.0009629584903458086,1.0537716471513944e-06,0.047974717361752246,0.0027708349119891893,0.04893767585209805,0.002771888683636341,0.09193767585209806,0.00277782084732306
1778.2794100389228,11173.259061216542,1.2999966043701038e-09,1.0668119245372533e-12,6.531669210000902e-08,3.237599990891231e-09,6.661668870437913e-08,3.2386668028157685e-09,0.0009629604476815584,7.902310552127803e-07,0.04838273488889557,0.002398222215474986,0.049345695336577136,0.002399012446530199,0.09234569533657713,0.00240692311394554
