frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
1333521.432163324,8378762.269377677,1.2999999999456497e-09,2.137496968049421e-15,,,1.2999999999456497e-09,2.137496968049421e-15,0.0009629629629227035,1.5833310874440157e-09,,,0.0009629629629227035,1.5833310874440157e-09,0.0439629629629227,0.005932165270050483
1778279.410038923,11173259.061216542,1.2999999999694368e-09,1.6028966023063231e-15,,,1.2999999999694368e-09,1.6028966023063231e-15,0.0009629629629403235,1.1873308165232023e-09,,,0.0009629629629403235,1.1873308165232023e-09,0.04396296296294032,0.00791066860267213
2371373.7056616554,14899780.425245322,1.299999999982813e-09,1.2020028817042785e-15,,,1.299999999982813e-09,1.2020028817042785e-15,0.0009629629629502319,8.903725049661322e-10,,,0.0009629629629502319,8.903725049661322e-10,0.04396296296295023,0.010549045431446193
3162277.6601683795,19869176.5315922,1.2999999999903353e-09,9.013750012134292e-16,,,1.2999999999903353e-09,9.013750012134292e-16,0.000962962962955804,6.676851860840217e-10,,,0.000962962962955804,6.676851860840217e-10,0.0439629629629558,0.014067377652052467
4216965.034285823,26495972.74431474,1.299999999994565e-09,6.759358941094774e-16,,,1.299999999994565e-09,6.759358941094774e-16,0.0009629629629589371,5.006932548959092e-10,,,0.0009629629629589371,5.006932548959092e-10,0.043962962962958936,0.018759149203668092
5623413.251903491,35332947.52055899,1.2999999999969438e-09,5.068804129833449e-16,,,1.2999999999969438e-09,5.068804129833449e-16,0.0009629629629606992,3.7546697258025555e-10,,,0.0009629629629606992,3.7546697258025555e-10,0.0439629629629607,0.02501572722002274
7498942.093324558,47117242.78016739,1.2999999999982816e-09,3.801066865669325e-16,,,1.2999999999982816e-09,3.801066865669325e-16,0.0009629629629616901,2.8156050856809815e-10,,,0.0009629629629616901,2.8156050856809815e-10,0.043962962962961684,0.033359008169919026
10000000.0,62831853.071795866,1.2999999999990337e-09,2.8503980320477354e-16,,,1.2999999999990337e-09,2.8503980320477354e-16,0.0009629629629622472,2.1114059496649892e-10,,,0.0009629629629622472,2.1114059496649892e-10,0.043962962962962246,0.04448495218597207
13335214.32163324,83787622.69377677,1.2999999999994566e-09,2.1374969786082318e-16,,,1.2999999999994566e-09,2.1374969786082318e-16,0.0009629629629625605,1.583331095265357e-10,,,0.0009629629629625605,1.583331095265357e-10,0.04396296296296256,0.05932163702552707
17782794.100389227,111732590.61216542,1.2999999999996946e-09,1.602896606758937e-16,,,1.2999999999996946e-09,1.602896606758937e-16,0.0009629629629627368,1.187330819821435e-10,,,0.0009629629629627368,1.187330819821435e-10,0.04396296296296273,0.0791066742721462
